Date, Latitude, Longitude, Altitude, Velocity
20:07:37, 54.56089, 18.39068, 25, 1
20:07:39, 54.56094, 18.39070, 35, 1
20:07:40, 54.56094, 18.39070, 34, 0
20:07:42, 54.56094, 18.39070, 35, 0
20:07:44, 54.56094, 18.39070, 34, 0
20:07:45, 54.56094, 18.39070, 34, 0
20:07:47, 54.56095, 18.39068, 35, 0
20:07:49, 54.56095, 18.39068, 36, 2
20:07:50, 54.56095, 18.39068, 36, 0
20:07:52, 54.56095, 18.39068, 36, 0
20:07:53, 54.56095, 18.39068, 36, 0
20:07:54, 54.56095, 18.39068, 36, 0
20:07:56, 54.56095, 18.39068, 36, 0
20:07:58, 54.56095, 18.39068, 37, 0
20:08:00, 54.56095, 18.39068, 37, 0
20:08:01, 54.56095, 18.39068, 37, 0
20:08:03, 54.56095, 18.39068, 37, 0
20:08:05, 54.56095, 18.39068, 37, 0
20:08:06, 54.56095, 18.39068, 37, 0
20:08:07, 54.56095, 18.39068, 37, 0
20:08:09, 54.56095, 18.39068, 37, 0
20:08:11, 54.56095, 18.39068, 37, 0
20:08:12, 54.56095, 18.39068, 37, 0
20:08:14, 54.56095, 18.39068, 37, 0
20:08:15, 54.56095, 18.39068, 36, 0
20:08:17, 54.56095, 18.39068, 37, 0
20:08:19, 54.56095, 18.39068, 37, 0
20:08:20, 54.56095, 18.39068, 37, 0
20:08:22, 54.56095, 18.39068, 36, 0
20:08:24, 54.56095, 18.39068, 36, 0
20:08:26, 54.56095, 18.39068, 37, 0
20:08:28, 54.56095, 18.39068, 37, 0
20:08:29, 54.56095, 18.39068, 36, 0
20:08:30, 54.56095, 18.39068, 36, 0
20:08:32, 54.56095, 18.39068, 36, 0
20:08:33, 54.56095, 18.39068, 36, 0
20:08:34, 54.56095, 18.39068, 37, 0
20:08:36, 54.56095, 18.39068, 36, 0
20:08:38, 54.56095, 18.39068, 36, 0
20:08:40, 54.56095, 18.39068, 36, 0
20:08:42, 54.56095, 18.39068, 36, 0
20:08:43, 54.56095, 18.39068, 36, 0
20:08:45, 54.56095, 18.39068, 37, 0
20:08:46, 54.56095, 18.39068, 37, 0
20:08:48, 54.56095, 18.39068, 37, 0
20:08:49, 54.56095, 18.39068, 37, 0
20:08:51, 54.56095, 18.39068, 37, 0
20:08:52, 54.56095, 18.39068, 37, 0
20:08:53, 54.56095, 18.39068, 37, 0
20:08:55, 54.56095, 18.39068, 37, 0
20:08:56, 54.56095, 18.39068, 37, 0
20:08:58, 54.56095, 18.39068, 37, 0
20:09:00, 54.56095, 18.39068, 37, 0
20:09:02, 54.56095, 18.39068, 37, 0
20:09:03, 54.56095, 18.39068, 37, 0
20:09:05, 54.56095, 18.39068, 37, 0
20:09:06, 54.56095, 18.39068, 37, 0
20:09:08, 54.56095, 18.39068, 37, 0
20:09:10, 54.56095, 18.39068, 37, 0
20:09:12, 54.56095, 18.39068, 37, 0
20:09:14, 54.56095, 18.39068, 37, 0
20:09:15, 54.56095, 18.39068, 37, 0
20:09:16, 54.56095, 18.39068, 37, 0
20:09:18, 54.56095, 18.39068, 37, 0
20:09:20, 54.56095, 18.39068, 37, 0
20:09:22, 54.56095, 18.39068, 37, 0
20:09:24, 54.56095, 18.39068, 36, 0
20:09:26, 54.56095, 18.39068, 36, 0
20:09:27, 54.56095, 18.39068, 37, 0
20:09:28, 54.56095, 18.39068, 37, 0
20:09:29, 54.56095, 18.39068, 37, 0
20:09:31, 54.56095, 18.39068, 37, 0
20:09:33, 54.56095, 18.39068, 37, 0
20:09:35, 54.56095, 18.39068, 37, 0
20:09:36, 54.56095, 18.39068, 37, 0
20:09:38, 54.56095, 18.39068, 37, 0
20:09:39, 54.56095, 18.39068, 37, 0
20:09:41, 54.56095, 18.39068, 37, 0
20:09:42, 54.56095, 18.39068, 37, 0
